Tipo_corte,Current_1,Voltage_1,Current_2,Current_3,Voltage_3,formattedTimestamp,stringPersonalizado
20.64,240.6,19.71,8.02,21.61,239.6,08/11/2023 15:47:09,1

20.64,240.6,11.12,19.71,21.61,239.6,08/11/2023 15:47:09,1

20.64,240.6,19.71,21.61,239.6,9.31,08/11/2023 15:47:09,1

20.64,10.18,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

13.33,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

9.53,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

20.64,7.19,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

11.81,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

20.64,13.59,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

11.81,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

20.64,240.6,13.97,19.71,21.61,239.6,08/11/2023 15:47:09,1

20.64,240.6,13.12,19.71,21.61,239.6,08/11/2023 15:47:09,1

9.28,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

10.52,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

8.18,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:10,1

20.64,240.6,19.71,21.61,9.13,239.6,08/11/2023 15:47:10,1

11.03,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:10,1

20.64,240.6,19.71,21.61,239.6,13.1,08/11/2023 15:47:10,1

13.38,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:10,1

10.98,20.6,241.1,19.71,21.61,239.6,08/11/2023 15:47:10,1

11.26,20.6,241.1,19.71,21.61,239.6,08/11/2023 15:47:10,1

20.6,241.1,10.42,19.69,21.48,240.2,08/11/2023 15:47:10,1

12.16,20.6,241.1,19.69,21.48,240.2,08/11/2023 15:47:10,1

20.6,241.1,19.69,21.48,240.2,12.71,08/11/2023 15:47:10,1

10.89,20.6,241.1,19.69,21.48,240.2,08/11/2023 15:47:10,1

9.39,20.6,241.1,19.69,21.48,240.2,08/11/2023 15:47:10,1

9.67,20.6,241.1,19.69,21.48,240.2,08/11/2023 15:47:10,1

20.6,241.1,19.69,21.48,240.2,10.23,08/11/2023 15:47:10,1

20.6,241.1,19.69,21.48,240.2,9.82,08/11/2023 15:47:10,1

